Symbol,Name,Price,Change,Market Cap,PE Ratio
V,Visa Inc.,230.76,-0.25,483304000000.0,30.81
JPM,JPMorgan Chase & Co.,133.89,-2.16,392325000000.0,9.9
MA,Mastercard Incorporated,380.21,-3.18,359338000000.0,37.85
JPM-PD,JPMorgan Chase & Co.,24.57,-0.08,326427000000.0,1.82
JPM-PC,JPMorgan Chase & Co.,25.02,-0.09,328207000000.0,1.86
BAC-PK,Bank of America Corporation,24.38,-0.04,244596000000.0,6.94
BAC-PL,Bank of America Corporation,1144.76,0.79,0.0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270350000000.00003,5.7
BML-PH,Bank of America Corporation,19.9,0.05,269812000000.0,5.66
BAC,Bank of America Corporation,27.06,-0.33,215526000000.0,8.1
BML-PL,Bank of America Corporation,20.2,0.05,248946000000.0,5.75
BAC-PE,Bank of America Corporation,20.15,0.12,239340000000.0,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240083000000.0,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245183000000.0,6.98
WFC-PQ,Wells Fargo & Company,25.01,1.45,201039000000.0,5.18
WFC-PR,Wells Fargo & Company,25.24,0.51,186022000000.0,5.22
WFC-PY,Wells Fargo & Company,22.36,0.01,182577000000.0,4.63
WFC-PL,Wells Fargo & Company,1139.77,1.77,178136000000.0,235.88
C-PJ,Citigroup Inc.,25.29,0.09,143582000000.0,2.97
HSBC,HSBC Holdings plc,37.47,0.02,151092000000.0,6.79
MS,Morgan Stanley,82.28,-0.35,139170000000.0,14.3
WFC,Wells Fargo & Company,37.35,-0.97,141079000000.0,10.86
RY,Royal Bank of Canada,95.68,-0.54,133217000000.00002,12.2
HDB,HDFC Bank Limited,67.78,0.65,126149000000.0,26.17
WFC-PC,Wells Fargo & Company,17.25,0.09,123026000000.0,3.57
GS,"The Goldman Sachs Group, Inc.",318.98,-1.74,106714000000.0,11.43
SPGI,S&P Global Inc.,358.29,-2.0,114939000000.0,43.75
C,Citigroup Inc.,45.4,-0.63,88976000000.0,6.28
AXP,American Express Company,147.97,-0.02,110512000000.0,15.63
TD,The Toronto-Dominion Bank,60.62,-0.27,111861000000.0,9.89
BX,Blackstone Inc.,83.01,-0.26,98916000000.0,101.24
BLK,"BlackRock, Inc.",650.51,8.49,98457000000.0,20.36
RY-PT,Royal Bank of Canada,25.44,0.02,94477000000.0,2.89
SCHW,The Charles Schwab Corporation,49.05,1.32,88940000000.0,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.37,0.0,89234000000.0,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68303000000.0,0.48
CB,Chubb Limited,199.6,-1.79,82668000000.0,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66271000000.0,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,0.07,63275000000.0,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80086000000.0,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64830000000.0,3.19
PGR,The Progressive Corporation,133.87,-0.07,79133000000.0,94.94
MS-PK,Morgan Stanley,23.2,-0.08,63064000000.0,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63647000000.0,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78042000000.0,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,0.2,74004000000.0,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,0.21,73350000000.0,0.4
PYPL,"PayPal Holdings, Inc.",62.08,-2.1,72440000000.0,35.28
USB-PH,U.S. Bancorp,17.51,-0.09,72085000000.0,3.78
MS-PA,Morgan Stanley,20.44,0.22,71974000000.0,2.6
USB-PP,U.S. Bancorp,22.29,0.07,69930000000.0,4.81
AON,Aon plc,335.5,0.28,68501000000.00001,26.75
CME,CME Group Inc.,184.55,1.07,67066000000.0,23.67
ICE,"Intercontinental Exchange, Inc.",108.39,0.18,60656000000.0,41.83
BNS,The Bank of Nova Scotia,49.02,-0.32,58486000000.0,9.08
UBS,UBS Group AG,19.16,-0.03,59544000000.0,9.88
MCO,Moody's Corporation,308.94,-0.01,56997000000.0,41.47
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.4,-0.01,56642000000.0,9.13
BMO,Bank of Montreal,87.43,-0.08,61785000000.0,5.86
ITUB,Itaú Unibanco Holding S.A.,5.41,-0.04,53016000000.0,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,0.17,50392000000.0,9.0
BN,Brookfield Corporation,30.33,-0.87,49597000000.0,25.49
ING,ING Groep N.V.,12.67,0.01,45797000000.0,11.01
AJG,Arthur J. Gallagher & Co.,217.17,0.36,46528000000.0,40.14
BSBR,Banco Santander (Brasil) S.A.,6.1,0.08,45383000000.0,16.47
USB,U.S. Bancorp,29.08,0.16,45410000000.0,7.93
PNC,"The PNC Financial Services Group, Inc.",111.09,-1.61,45509000000.0,7.69
AIG-PA,"American International Group, Inc.",24.59,0.02,44115000000.0,2.15
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,0.05,43009000000.0,5.97
MET-PA,"MetLife, Inc.",21.98,0.22,42691000000.0,2.82
MET-PE,"MetLife, Inc.",23.79,0.04,42184000000.0,3.05
TRV,"The Travelers Companies, Inc.",181.84,-0.97,42240000000.0,15.5
